NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
Q1130,MS-IFA-Q30,Monetary Support - Single Organization,"Providing support to organizations whose primary purpose is to provide technical assistance training and material resources to support the capacity-building efforts of nations outside the U. S. with a focus on agricultural and rural development, health, education, social welfare, small business development and industrial growth. Use this code for organizations that provide a wide range of international development and/or relief services or those not specified below.",Unmapped
Q1134,MS-IFA-Q34,Monetary Support - Single Organization,"Providing support to organizations whose primary purpose is to educate individuals, provide financial support for educational institutions and other forms of material support for students and institutions in countries outside the United States.",Unmapped
Q1135,MS-IFA-Q35,Monetary Support - Single Organization,"Providing support to organizations whose primary purpose is to carry out programs that support the development of democracy and civil society in countries outside of the United States.  Includes organizations that provide assistance in election planning and administration, election law development, political party development, constitutional development, and voter and civic education, which may include training of government and civic leaders.  Also includes organizations that promote a supportive legal and regulatory environment for civil society and otherwise strengthen civil society actors and organizations as a group.
",Unmapped
Q1151,MS-IFA-Q51,Monetary Support - Single Organization,"Providing support to organizations whose primary purpose is promote world trade and strengthen international trade and investment position of the US, states and localities. Services may include analyses of the competitiveness of specific industries, development of trade policies, negotiating market access for US companies and promoting exports through trade missions, shows, and fairs in major overseas markets.",Unmapped
Q12,MM-IFA-Q00,Monetary Support - Multiple Organizations,NA,Unmapped
Q1230,MM-IFA-Q30,Monetary Support - Multiple Organizations,"Providing support to organizations whose primary purpose is to provide technical assistance training and material resources to support the capacity-building efforts of nations outside the U. S. with a focus on agricultural and rural development, health, education, social welfare, small business development and industrial growth. Use this code for organizations that provide a wide range of international development and/or relief services or those not specified below.",Unmapped
Q1240,MM-IFA-Q40,Monetary Support - Multiple Organizations,Providing support to organizations that promote harmony and understanding among nations either globally or in a particular region of the world and/or engage in activities that promote peaceful ways of managing and settling international conflicts. Use this code for organizations that promote international peace in a general way or which have specific programs devoted to international peace and security other than those specified below.,Unmapped
Q19,NS-IFA-Q00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
Q1970,NS-IFA-Q70,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that work to protect individuals around the world from denial of civil rights and liberties or other arbitrary governmental interference, harassment, or abuse due to their political or religious beliefs.",Unmapped
Q20,RG-IFA-Q20,"Organizations whose primary purpose is to promote international understanding through activities, such as events, forums, trainings, and exchanges, which enable people to develop an appreciation for other societies, their traditions and culture. Use this code for organizations that provide a wide variety of organizations relating to the promotion of international understanding or which offer specific programs not specified below.",NA,Unmapped
Q21,RG-IFA-Q21,"Organizations whose primary purpose is to provide international cultural educational experiences abroad and/or sponsor international cultural events (e.g., touring performing arts troupes) that are designed to increase understanding of other societies through the arts and humanities."" Also use this code for financial support for museums and other cultural institutions outside of the United States.",NA,Unmapped
Q22,RG-IFA-Q22,Organizations that provide opportunities for high school students from foreign countries to live with an approved family in the United States and attend an American high school for one semester or one year in exchange for American students living and attending school in their country during the same period of time.,NA,Unmapped
Q23,RG-IFA-Q23,"Organizations whose primary purpose is to provide international living experiences for individuals and families by arranging job exchanges, residence exchanges and other similar opportunities.
",NA,Unmapped
Q30,RG-IFA-Q30,"Organizations whose primary purpose is to provide technical assistance training and material resources to support the capacity-building efforts of nations outside the U. S. with a focus on agricultural and rural development, health, education, social welfare, small business development and industrial growth. Use this code for organizations that provide a wide range of international development and/or relief services or those not specified below.",NA,Unmapped
Q31,RG-IFA-Q31,"Organizations that provide information, technical assistance and support to developing countries regarding the planting, nurturing, protection and utilization of agricultural products with the objective of increasing the productivity of their cultivated land and improving their food supply.",NA,Unmapped
Q32,RG-IFA-Q32,"Organizations that provide technical assistance and training, loans and loan guarantees and other forms of support to stimulate the economy, expand employment opportunities, encourage the establishment and growth of commerce and industry and otherwise enhance the economic development of countries outside the United States.",NA,Unmapped
Q33,RG-IFA-Q33,"Organizations that work to relieve poverty in developing countries by providing funds, technical assistance and supplies which improve the health, education, welfare, social well-being and self-reliance of individuals and families. Also included are organizations that provide relief services in response to a major disaster or large-scale emergency that occurs abroad.",NA,Unmapped
Q34,RG-IFA-Q34,"Organizations whose primary purpose is to educate individuals, provide financial support for educational institutions and other forms of material support for students and institutions in countries outside the United States.",NA,Unmapped
Q35,RG-IFA-Q35,"Organizations whose primary purpose is to carry out programs that support the development of democracy and civil society in countries outside of the United States.  Includes organizations that provide assistance in election planning and administration, election law development, political party development, constitutional development, and voter and civic education, which may include training of government and civic leaders.  Also includes organizations that promote a supportive legal and regulatory environment for civil society and otherwise strengthen civil society actors and organizations as a group.
",NA,Unmapped
Q36,RG-IFA-Q36,"Organizations whose primary purpose is to provide technical assistance, training, and other forms of support to encourage the development of appropriate technologies, science and technology transfer, and technological capability building of countries outside the United States.",NA,Unmapped
Q38,RG-IFA-Q38,Organizations whose primary purpose is to protect the environment and create a sustainable world by addressing issues such as cross national concerns and advocacy and research on environmental and population policy.,NA,Unmapped
Q39,RG-IFA-Q39,"Organizations whose primary purpose is to provide health assistance and training, loans and loan guarantees, financial and other material support for hospitals, medical services for countries outside the United States.",NA,Unmapped
Q40,RG-IFA-Q40,Organizations that promote harmony and understanding among nations either globally or in a particular region of the world and/or engage in activities that promote peaceful ways of managing and settling international conflicts. Use this code for organizations that promote international peace in a general way or which have specific programs devoted to international peace and security other than those specified below.,NA,Unmapped
Q41,RG-IFA-Q41,"Organizations that promote control of nuclear, biological, chemical and conventional weapons development and proliferation.",NA,Unmapped
Q42,RG-IFA-Q42,Organizations whose activities relate specifically to the United Nations.,NA,Unmapped
Q43,RG-IFA-Q43,"Organizations that conduct studies on major national security topics including the U.S. armed forces, weapons decisions, deployment policies and the security aspects of U.S. foreign relations; monitor legislation on national security issues; advocate for specific defense policies and expenditures; and engage in other activities related to the security of the United States.",NA,Unmapped
Q50,RG-IFA-Q50,"Organizations that conduct studies on foreign policy, national security, regional affairs and international energy, economic, and trade policies; monitor foreign policy legislation; hold conferences seminars and debates to expand interest in international issues and promote understanding of US foreign policy and international affairs; address problems of globalization; publish journals, newsletters, and other materials addressing foreign policy issues; and engage in other activities relating to foreign policy.",NA,Unmapped
Q51,RG-IFA-Q51,"Organizations whose primary purpose is promote world trade and strengthen international trade and investment position of the US, states and localities. Services may include analyses of the competitiveness of specific industries, development of trade policies, negotiating market access for US companies and promoting exports through trade missions, shows, and fairs in major overseas markets.",NA,Unmapped
Q70,RG-IFA-Q70,"Organizations that work to protect individuals around the world from denial of civil rights and liberties or other arbitrary governmental interference, harassment, or abuse due to their political or religious beliefs.",NA,Unmapped
Q71,RG-IFA-Q71,Organizations that monitor and inform the public about the world refugee situation; review refugee-related legislation; and advocate for specific policies relating to the plight of refugees in other countries. Also included are organizations that raise money to enable refugees to leave their own countries and migrate to foreign countries of their choice; or provide aid to refugees who have left their country of origin and are residing in another country outside the United States.,NA,Immigration
Q99,RG-IFA-Q99,Use this code for organizations that clearly provide services related to international affairs where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
R01,AA-PSB-R00,Alliance/Advocacy Organizations,NA,Unmapped
R0124,AA-PSB-R24,Alliance/Advocacy Organizations,Providing support to organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of women.,Unmapped
R0128,AA-PSB-R28,Alliance/Advocacy Organizations,Providing support to organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth.,Unmapped
R0161,AA-PSB-R61,Alliance/Advocacy Organizations,Providing support to organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy.,Unmapped
R0162,AA-PSB-R62,Alliance/Advocacy Organizations,Providing support to organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies.,Unmapped
R02,MT-PSB-R00,Management and Technical Assistance,NA,Unmapped
R0226,MT-PSB-R26,Management and Technical Assistance,"Providing support to organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgendered.",Unmapped
R03,PA-PSB-R00,Professional Societies/Associations,NA,Unmapped
R05,RP-PSB-R00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
R11,MS-PSB-R00,Monetary Support - Single Organization,NA,Unmapped
R12,MM-PSB-R00,Monetary Support - Multiple Organizations,NA,Unmapped
R1226,MM-PSB-R26,Monetary Support - Multiple Organizations,"Providing support to organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgendered.",Unmapped
R19,NS-PSB-R00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
R1924,NS-PSB-R24,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of women.,Unmapped
R20,RG-PSB-R20,Organizations that work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups. Use this code for organizations that broadly address civil rights and advocacy issues or which focus on populations not specified below.,NA,Immigration
R21,RG-PSB-R21,Organizations that support the passage and enforcement of laws and other social measures which protect the rights and interests of individuals who have newly arrived in the country or which govern the process by which individuals and families are granted permission to immigrate.,NA,Immigration
R22,RG-PSB-R22,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnic groups or individuals who have a common national origin. Use this code for organizations like the NAACP and La Raza.,NA,Immigration
R23,RG-PSB-R23,"Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population.",NA,Unmapped
R24,RG-PSB-R24,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of women.,NA,Unmapped
R25,RG-PSB-R25,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of older adults.,NA,Unmapped
R26,RG-PSB-R26,"Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgendered.",NA,Unmapped
R27,RG-PSB-R27,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of patients.,NA,Unmapped
R28,RG-PSB-R28,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth.,NA,Unmapped
R29,RG-PSB-R29,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of groups of workers and employees.,NA,Unmapped
R30,RG-PSB-R30,"Organizations that work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification.",NA,Immigration
R40,RG-PSB-R40,"Organizations that encourage citizens to participate in the political process, in a nonpartisan manner, by providing opportunities for political involvement, access to public officials, information that is necessary to make informed decisions at the ballot box or assistance in registering to vote.",NA,Unmapped
R60,RG-PSB-R60,Organizations that protect the rights of people guaranteed by the Constitution and promote the passage of laws or other social measures that extend individual rights or more effectively protect them. Use this code for organizations that advocate for a wide variety of civil liberties or for specific rights that are not specified below.,NA,Unmapped
R61,RG-PSB-R61,Organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy.,NA,Unmapped
R62,RG-PSB-R62,Organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies.,NA,Unmapped
R63,RG-PSB-R63,Organizations that support the right of the press to freedom of expression without censorship or other restrictions by government and/or which support the right of the media to maintain confidential sources.,NA,Unmapped
R65,RG-PSB-R65,Organizations that support the passage of legislation and other social measures that protect or extend the rights of individuals to conduct their lives according to the precepts of their faith.,NA,Unmapped
R67,RG-PSB-R67,Organizations that support the right of people who may be terminally ill to end their own lives in a planned manner either by active means or by the removal of life-support systems.,NA,Unmapped
R99,RG-PSB-R99,"Use this code for organizations that clearly provide civil rights, social action or advocacy services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",NA,Unmapped
S01,AA-PSB-S00,Alliance/Advocacy Organizations,NA,Unmapped
S0120,AA-PSB-S20,Alliance/Advocacy Organizations,"Providing support to organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below.",Unmapped
S0121,AA-PSB-S21,Alliance/Advocacy Organizations,Providing support to organizations that are designed to increase citizen participation in local policy issues and thereby improve the overall quality of life in a particular state or community.,Unmapped
S02,MT-PSB-S00,Management and Technical Assistance,NA,Unmapped
S0240,MT-PSB-S40,Management and Technical Assistance,"Providing support to organizations that provide technical assistance, loans, loan guarantees and other forms of assistance to support the development and growth of a wide variety of business establishments in the community.",Unmapped
S0241,MT-PSB-S41,Management and Technical Assistance,"Providing support to organizations like chambers of commerce, business leagues and commercial trade associations whose members are businessmen and women and merchants who have affiliated for the purpose of promoting the general commercial interests of the community or the interests of their own trade. [Many of these are found in section 501(c)(6) business leagues; and 501(c)(6) chambers of commerce.]",Unmapped
S03,PA-PSB-S00,Professional Societies/Associations,NA,Unmapped
S0320,PA-PSB-S20,Professional Societies/Associations,"Providing support to organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below.",Unmapped
S0321,PA-PSB-S21,Professional Societies/Associations,Providing support to organizations that are designed to increase citizen participation in local policy issues and thereby improve the overall quality of life in a particular state or community.,Unmapped
S0341,PA-PSB-S41,Professional Societies/Associations,"Providing support to organizations like chambers of commerce, business leagues and commercial trade associations whose members are businessmen and women and merchants who have affiliated for the purpose of promoting the general commercial interests of the community or the interests of their own trade. [Many of these are found in section 501(c)(6) business leagues; and 501(c)(6) chambers of commerce.]",Unmapped
S05,RP-PSB-S00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
S11,MS-PSB-S00,Monetary Support - Single Organization,NA,Unmapped
S1120,MS-PSB-S20,Monetary Support - Single Organization,"Providing support to organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below.",Unmapped
S1130,MS-PSB-S30,Monetary Support - Single Organization,"Providing support to organizations whose primary purpose is to stimulate the economy, expand employment opportunities, encourage the establishment and growth of commerce and industry and otherwise enhance the economic development of the community.",Unmapped
S12,MM-PSB-S00,Monetary Support - Multiple Organizations,NA,Unmapped
S1220,MM-PSB-S20,Monetary Support - Multiple Organizations,"Providing support to organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below.",Unmapped
S1221,MM-PSB-S21,Monetary Support - Multiple Organizations,Providing support to organizations that are designed to increase citizen participation in local policy issues and thereby improve the overall quality of life in a particular state or community.,Unmapped
S1222,MM-PSB-S22,Monetary Support - Multiple Organizations,Providing support to organizations whose members are residents of a particular community or neighborhood who have joined together to remedy deficiencies in existing neighborhood conditions or to enhance conditions that are currently satisfactory.,Unmapped
S1240,MM-PSB-S40,Monetary Support - Multiple Organizations,"Providing support to organizations that provide technical assistance, loans, loan guarantees and other forms of assistance to support the development and growth of a wide variety of business establishments in the community.",Unmapped
S19,NS-PSB-S00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
S20,RG-PSB-S20,"Organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below.",NA,Unmapped
S21,RG-PSB-S21,Organizations that are designed to increase citizen participation in local policy issues and thereby improve the overall quality of life in a particular state or community.,NA,Unmapped
S22,RG-PSB-S22,Organizations whose members are residents of a particular community or neighborhood who have joined together to remedy deficiencies in existing neighborhood conditions or to enhance conditions that are currently satisfactory.,NA,Unmapped
S30,RG-PSB-S30,"Organizations whose primary purpose is to stimulate the economy, expand employment opportunities, encourage the establishment and growth of commerce and industry and otherwise enhance the economic development of the community.",NA,Unmapped
S31,RG-PSB-S31,"Organizations that provide technical assistance, loans, loan guarantees or other forms of management support to help impoverished urban communities create local jobs, sustain local services and build healthier local economies.",NA,Unmapped
S32,RG-PSB-S32,"Organizations that provide technical assistance, venture capital, loans, loan guarantees or other forms of management support to encourage the establishment and growth of business and industry in rural areas.",NA,Unmapped
S40,RG-PSB-S40,"Organizations that provide technical assistance, loans, loan guarantees and other forms of assistance to support the development and growth of a wide variety of business establishments in the community.",NA,Unmapped
S41,RG-PSB-S41,"Organizations like chambers of commerce, business leagues and commercial trade associations whose members are businessmen and women and merchants who have affiliated for the purpose of promoting the general commercial interests of the community or the interests of their own trade. [Many of these are found in section 501(c)(6) business leagues; and 501(c)(6) chambers of commerce.]",NA,Unmapped
S43,RG-PSB-S43,"Organizations that provide technical assistance, venture capital, loans, loan guarantees or other forms of support for individuals or groups who want to establish or expand the operation of a small business enterprise or venture.",NA,Unmapped
S46,RG-PSB-S46,"501(c)(6) organizations that are involved in regulating, promoting or conducting commodities and commercial investment exchanges.",NA,Unmapped
S47,RG-PSB-S47,Organizations whose members are in the real estate business who have affiliated for the purpose of promoting the interests of their trade.,NA,Unmapped
S50,RG-PSB-S50,"Organizations that provide technical assistance for nonprofit organizations who need management support in areas like board development; facility administration; fiscal administration; grant writing; personnel administration; program planning, development or evaluation; service delivery; volunteer utilization; or public relations. Use this code for Nonprofit Management Support Centers.",NA,Unmapped
S80,RG-PSB-S80,"Organizations whose members are business and professional men and/or women or other individuals who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects.  Many service clubs are chapters of national or international organizations.",NA,Unmapped
S81,RG-PSB-S81,"Organizations whose members are women who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects.",NA,Unmapped
S82,RG-PSB-S82,"Organizations whose members are men who have a common interest in improving the life of the community, which conduct fund-raising events to finance community service projects.",NA,Unmapped
S99,RG-PSB-S99,"Use this code for organizations that clearly provide community improvement, capacity building services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",NA,Unmapped
T01,AA-PSB-T00,Alliance/Advocacy Organizations,NA,Unmapped
T02,MT-PSB-T00,Management and Technical Assistance,NA,Unmapped
T03,PA-PSB-T00,Professional Societies/Associations,NA,Unmapped
T0330,PA-PSB-T30,Professional Societies/Associations,"Providing support to organizations, sometimes referred to as public charities, that derive their funding or support primarily from the general public in carrying out their social, educational, religious or other charitable activities serving the common welfare.   Although public foundations may provide direct charitable services to the public as other nonprofits do, their primary focus is on grantmaking.",Unmapped
T05,RP-PSB-T00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
T11,MS-PSB-T00,Monetary Support - Single Organization,NA,Unmapped
T1131,MS-PSB-T31,Monetary Support - Single Organization,Providing support to organizations that make grants for charitable purposes in a specific community or region. The funds available to a community foundation are usually derived from many donors and held in an endowment that is independently administered; income earned by the endowment is then used to make grants. (rev. 11/04),Unmapped
T1170,MS-PSB-T70,Monetary Support - Single Organization,"Providing support to organizations that administer centralized fundraising efforts and then in turn distribute the contributed funds to several nonprofit agencies. United Way and community chests or funds, the United Jewish Appeal and other religious appeals are examples of federated giving programs. (rev. 1/05)",Unmapped
T12,MM-PSB-T00,Monetary Support - Multiple Organizations,NA,Unmapped
T19,NS-PSB-T00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
T20,RG-PSB-T20,"Nongovernmental, nonprofit organizations with funds (usually from a single source, such as an individual, family or corporation) and programs managed by its own trustees or directors, established to maintain or aid social, educational, religious or other charitable activities serving the common welfare, primarily through grantmaking.  T20 should be used only if one of the more specific codes in the T20 series cannot be determined.",NA,Unmapped
T21,RG-PSB-T21,Private foundations whose grant funds are derived primarily from the contributions of a profit-making business organization.,NA,Unmapped
T22,RG-PSB-T22,"Private foundations that make grants based on charitable endowments.  Because of their endowments, they are focused primarily on grantmaking and generally do not actively raise funds or seek public financial support.  These are the most common type of private foundation.  They are generally endowed, usually from a single individual or family.  Private foundations are considered family foundations if relatives or the original donor are still active on the board of trustees or in the operation of the foundation.",NA,Unmapped
T23,RG-PSB-T23,"Private foundations that use a bulk of their resources to provide charitable services or run charitable programs of their own.  They make few, if any, grants to outside organizations and, like private independent foundations, they generally do not raise funds from the public.",NA,Unmapped
T30,RG-PSB-T30,"Organizations, sometimes referred to as public charities, that derive their funding or support primarily from the general public in carrying out their social, educational, religious or other charitable activities serving the common welfare.   Although public foundations may provide direct charitable services to the public as other nonprofits do, their primary focus is on grantmaking.",NA,Unmapped
T31,RG-PSB-T31,Organizations that make grants for charitable purposes in a specific community or region. The funds available to a community foundation are usually derived from many donors and held in an endowment that is independently administered; income earned by the endowment is then used to make grants. (rev. 11/04),NA,Unmapped
T40,RG-PSB-T40,Organizations that encourage people to volunteer. (rev. 1/05),NA,Unmapped
T50,RG-PSB-T50,"Organizations concerned with civil society, philanthropy, and the nonprofit sector who seek to promote the practice of charitable giving and voluntarism through a variety of strategies including advocacy, disclosure, information exchange, and research. (rev. 1/05)",NA,Unmapped
T70,RG-PSB-T70,"Organizations that administer centralized fundraising efforts and then in turn distribute the contributed funds to several nonprofit agencies. United Way and community chests or funds, the United Jewish Appeal and other religious appeals are examples of federated giving programs. (rev. 1/05)",NA,Unmapped
T90,RG-PSB-T90,Use this code for named trusts not classified elsewhere. (rev. 11/04),NA,Unmapped
T99,RG-PSB-T99,"Use this code for organizations that clearly provide philanthropy, voluntarism and grantmaking services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.",NA,Unmapped
U01,AA-PSB-U00,Alliance/Advocacy Organizations,NA,Unmapped
U02,MT-PSB-U00,Management and Technical Assistance,NA,Unmapped
U0240,MT-PSB-U40,Management and Technical Assistance,Providing support to organizations that conduct research in the area of science which applies mathematical and scientific principles to the solution of practical problems for the benefit of society.,Unmapped
U03,PA-PSB-U00,Professional Societies/Associations,NA,Unmapped
U0320,PA-PSB-U20,Professional Societies/Associations,Providing support to organizations that focus broadly on scientific research and inquiry or which engage in interdisciplinary science activities.,Unmapped
U0330,PA-PSB-U30,Professional Societies/Associations,"Providing support to organizations that conduct research in the physical and earth sciences, i.e., the area of science that studies inanimate objects, processes of matter and energy and associated phenomena. Use this code for organizations that conduct research that broadly covers the physical and earth sciences or for those that address areas of scientific study not specified below.",Unmapped
U0333,PA-PSB-U33,Professional Societies/Associations,"Providing support to organizations that conduct research in chemistry, the science which addresses the composition and behavior of matter including its micro- and macro-structure, the processes of chemical change and the theoretical description and laboratory simulation of these phenomena.",Unmapped
U0340,PA-PSB-U40,Professional Societies/Associations,Providing support to organizations that conduct research in the area of science which applies mathematical and scientific principles to the solution of practical problems for the benefit of society.,Unmapped
U0342,PA-PSB-U42,Professional Societies/Associations,"Providing support to organizations that conduct research in the field of engineering in which mathematical and scientific principles are applied to solve a wide variety of practical problems in industry, social organization, public works and commerce.",Unmapped
U0350,PA-PSB-U50,Professional Societies/Associations,"Providing support to organizations that conduct research in the sciences which analyze the structure, function, growth, origin, evolution or distribution of living organisms and their relations to their natural environments.",Unmapped
U05,RP-PSB-U00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
U0540,RP-PSB-U40,Research Institutes and/or Public Policy Analysis,Providing support to organizations that conduct research in the area of science which applies mathematical and scientific principles to the solution of practical problems for the benefit of society.,Unmapped
U0550,RP-PSB-U50,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that conduct research in the sciences which analyze the structure, function, growth, origin, evolution or distribution of living organisms and their relations to their natural environments.",Unmapped
U11,MS-PSB-U00,Monetary Support - Single Organization,NA,Unmapped
U12,MM-PSB-U00,Monetary Support - Multiple Organizations,NA,Unmapped
U19,NS-PSB-U00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
U1921,NS-PSB-U21,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to organizations that support or conduct research in the area of science that studies the oceans and associated phenomena including the land/ water and water/atmospheric boundaries.,Unmapped
U20,RG-PSB-U20,Organizations that focus broadly on scientific research and inquiry or which engage in interdisciplinary science activities.,NA,Unmapped
U21,RG-PSB-U21,Organizations that support or conduct research in the area of science that studies the oceans and associated phenomena including the land/ water and water/atmospheric boundaries.,NA,Unmapped
U30,RG-PSB-U30,"Organizations that conduct research in the physical and earth sciences, i.e., the area of science that studies inanimate objects, processes of matter and energy and associated phenomena. Use this code for organizations that conduct research that broadly covers the physical and earth sciences or for those that address areas of scientific study not specified below.",NA,Unmapped
U31,RG-PSB-U31,"Organizations that conduct research in astronomy, the physical science that addresses matter and energy in the universe using observational techniques such as spectroscopy, photometry, interferometry, radio astronomy and optical astronomy.",NA,Unmapped
U33,RG-PSB-U33,"Organizations that conduct research in chemistry, the science which addresses the composition and behavior of matter including its micro- and macro-structure, the processes of chemical change and the theoretical description and laboratory simulation of these phenomena.",NA,Unmapped
U34,RG-PSB-U34,"Organizations that conduct research in mathematics, the science which addresses quantities, magnitudes, forms and their relationships using symbolic logic and language.",NA,Unmapped
U36,RG-PSB-U36,"Organizations that conduct research in the area of science that studies the earth; the forces acting upon it; and the behavior of the solids, liquids and gases comprising it.",NA,Unmapped
U40,RG-PSB-U40,Organizations that conduct research in the area of science which applies mathematical and scientific principles to the solution of practical problems for the benefit of society.,NA,Unmapped
U41,RG-PSB-U41,"Organizations that conduct research in the area of science that addresses the study of data and information storage and processing systems including hardware, software, basic design principles, user requirements analysis and related economic and policy issues.",NA,Unmapped
U42,RG-PSB-U42,"Organizations that conduct research in the field of engineering in which mathematical and scientific principles are applied to solve a wide variety of practical problems in industry, social organization, public works and commerce.",NA,Unmapped
U50,RG-PSB-U50,"Organizations that conduct research in the sciences which analyze the structure, function, growth, origin, evolution or distribution of living organisms and their relations to their natural environments.",NA,Unmapped
U99,RG-PSB-U99,Use this code for organizations that clearly provide science and technology research services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
V01,AA-PSB-V00,Alliance/Advocacy Organizations,NA,Unmapped
V0130,AA-PSB-V30,Alliance/Advocacy Organizations,"Providing support to organizations that bring together the humanities, physical sciences and social sciences to develop and enhance a broad understanding of particular populations, cultures or other related areas of research. Use this code for organizations that conduct broadly conceived interdisciplinary research or for those that address areas of interdisciplinary study not specified below.",Unmapped
V02,MT-PSB-V00,Management and Technical Assistance,NA,Unmapped
V03,PA-PSB-V00,Professional Societies/Associations,NA,Unmapped
V0325,PA-PSB-V25,Professional Societies/Associations,"Providing support to organizations that conduct research in the area of social science that involves the systematic study of population models and population phenomena, and related problems of social structure and behavior.",Unmapped
V05,RP-PSB-V00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
V11,MS-PSB-V00,Monetary Support - Single Organization,NA,Unmapped
V1120,MS-PSB-V20,Monetary Support - Single Organization,"Providing support to organizations that conduct research, study or teaching in one or more of the social sciences, i.e., those involving the systematic study of social systems, social institutions and social behavior.",Unmapped
V12,MM-PSB-V00,Monetary Support - Multiple Organizations,NA,Unmapped
V19,NS-PSB-V00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
V20,RG-PSB-V20,"Organizations that conduct research, study or teaching in one or more of the social sciences, i.e., those involving the systematic study of social systems, social institutions and social behavior.",NA,Unmapped
V21,RG-PSB-V21,"Organizations that conduct research in the area of social science that involves the systematic study of human beings, their antecedents and related primates, and their cultural behavior and institutions in comparative perspective (anthropology); and/or the study of social institutions and social relationships (sociology).",NA,Unmapped
V22,RG-PSB-V22,"Organizations that conduct research in the area of social science that involves the systematic study of the production, conservation and allocation of resources in conditions of scarcity, together with the organizational frameworks related to these processes.",NA,Unmapped
V23,RG-PSB-V23,"Organizations that conduct research in psychology, the social science that involves the systematic study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders.",NA,Unmapped
V24,RG-PSB-V24,Organizations that conduct research in the area of social science that involves the systematic study of political institutions and behavior.,NA,Unmapped
V25,RG-PSB-V25,"Organizations that conduct research in the area of social science that involves the systematic study of population models and population phenomena, and related problems of social structure and behavior.",NA,Unmapped
V26,RG-PSB-V26,"Organizations that conduct research in the area of social science that involves the systematic study of the theory, history and application of the rules of conduct by which societal relations are formally structured and adjudicated.",NA,Unmapped
